"","x"
"z[478]",0.64001
"z[479]",0.7896
"z[480]",0.85212
"z[481]",0.92591
"z[482]",0.95596
"z[483]",0.97231
"z[484]",0.97922
"z[485]",0.98095
"z[486]",0.99063
"z[487]",0.99476
"z[488]",0.99648
"z[489]",0.99778
"z[490]",0.99821
"z[491]",0.99816
"z[492]",0.99764
"z[493]",0.99604
"z[494]",0.99416
"z[495]",0.99115
"z[496]",0.98321
"z[497]",0.96739
"z[498]",0.92652
"z[499]",0.8312
"z[500]",0.74102
"z[501]",0.76492
"z[502]",0.77555
"z[503]",0.79593
"z[504]",0.80097
"z[505]",0.91469
"z[506]",0.96504
"z[507]",0.9849
"z[508]",0.99357
"z[509]",0.99741
"z[510]",0.99883
"z[511]",0.99931
"z[512]",0.99933
"z[513]",0.99917
"z[514]",0.99837
"z[515]",0.99896
"z[516]",0.99903
"z[517]",0.99927
"z[518]",0.99902
"z[519]",0.99854
"z[520]",0.99815
"z[521]",0.99864
"z[522]",0.99922
"z[523]",0.99938
"z[524]",0.99919
"z[525]",0.99869
"z[526]",0.99883
"z[527]",0.99889
"z[528]",0.99924
"z[529]",0.99921
"z[530]",0.99956
"z[531]",0.99963
"z[532]",0.99943
"z[533]",0.99934
"z[534]",0.99919
"z[535]",0.99885
"z[536]",0.99856
"z[537]",0.99814
"z[538]",0.99713
"z[539]",0.99798
"z[540]",0.99781
"z[541]",0.99866
"z[542]",0.99921
"z[543]",0.99929
"z[544]",0.99909
"z[545]",0.99939
"z[546]",0.99961
"z[547]",0.99972
"z[548]",0.99964
"z[549]",0.99942
"z[550]",0.99941
"z[551]",0.99951
"z[552]",0.9997
"z[553]",0.99971
"z[554]",0.99966
"z[555]",0.99978
"z[556]",0.99983
"z[557]",0.99977
"z[558]",0.99956
"z[559]",0.99952
"z[560]",0.99955
"z[561]",0.9996
"z[562]",0.99953
"z[563]",0.99932
"z[564]",0.99896
"z[565]",0.99878
"z[566]",0.99805
"z[567]",0.99776
"z[568]",0.99649
"z[569]",0.99301
"z[570]",0.98387
"z[571]",0.97493
"z[572]",0.95229
"z[573]",0.92378
"z[574]",0.9288
"z[575]",0.93365
"z[576]",0.94922
"z[577]",0.9603
"z[578]",0.96333
"z[579]",0.97427
"z[580]",0.98176
"z[581]",0.98372
"z[582]",0.99313
"z[583]",0.99692
"z[584]",0.99842
"z[585]",0.99898
"z[586]",0.99944
"z[587]",0.99954
"z[588]",0.99943
"z[589]",0.99932
"z[590]",0.99931
"z[591]",0.99931
"z[592]",0.99958
"z[593]",0.99966
"z[594]",0.99975
"z[595]",0.99969
"z[596]",0.99959
"z[597]",0.99954
"z[598]",0.99938
"z[599]",0.99911
"z[600]",0.99917
"z[601]",0.99935
"z[602]",0.99934
"z[603]",0.99953
"z[604]",0.99951
"z[605]",0.99955
"z[606]",0.99954
"z[607]",0.99967
"z[608]",0.99954
"z[609]",0.99964
"z[610]",0.99961
"z[611]",0.99952
"z[612]",0.99968
"z[613]",0.99972
"z[614]",0.99975
"z[615]",0.99955
"z[616]",0.99927
"z[617]",0.99899
"z[618]",0.99919
"z[619]",0.9992
"z[620]",0.99897
"z[621]",0.99827
"z[622]",0.99718
"z[623]",0.99868
"z[624]",0.99913
"z[625]",0.9995
"z[626]",0.99979
"z[627]",0.99976
"z[628]",0.99963
"z[629]",0.99934
"z[630]",0.99857
"z[631]",0.99907
"z[632]",0.9991
"z[633]",0.9994
"z[634]",0.99941
"z[635]",0.99911
"z[636]",0.99943
"z[637]",0.99934
"z[638]",0.99955
"z[639]",0.99966
"z[640]",0.99964
"z[641]",0.99964
"z[642]",0.99969
"z[643]",0.99964
"z[644]",0.99965
"z[645]",0.99966
"z[646]",0.99955
"z[647]",0.99963
"z[648]",0.99962
"z[649]",0.99942
"z[650]",0.99856
"z[651]",0.99883
"z[652]",0.99945
"z[653]",0.99965
"z[654]",0.9997
"z[655]",0.99958
"z[656]",0.99939
"z[657]",0.99949
"z[658]",0.99953
"z[659]",0.99965
"z[660]",0.99968
"z[661]",0.99981
"z[662]",0.99971
"z[663]",0.99958
"z[664]",0.99964
"z[665]",0.99965
"z[666]",0.99946
"z[667]",0.9996
"z[668]",0.99914
"z[669]",0.99896
"z[670]",0.99944
"z[671]",0.99965
"z[672]",0.99978
"z[673]",0.9998
"z[674]",0.99978
"z[675]",0.99983
"z[676]",0.99984
"z[677]",0.99976
"z[678]",0.99964
"z[679]",0.99942
"z[680]",0.99916
"z[681]",0.99884
"z[682]",0.9987
"z[683]",0.99719
"z[684]",0.99684
"z[685]",0.99833
"z[686]",0.99894
"z[687]",0.99908
